2025-02-25 10:00:11.583 [info] Added views:workbench.panel.chat.view.copilot in workbench.panel.chat
2025-02-25 10:00:11.583 [info] Added views:workbench.panel.chat.view.edits in workbench.panel.chatEditing
2025-02-25 10:00:11.583 [info] Added views:outline in workbench.view.explorer
2025-02-25 10:00:11.583 [info] Added views:workbench.view.search in workbench.view.search
2025-02-25 10:00:11.583 [info] Added views:workbench.scm in workbench.view.scm
2025-02-25 10:00:11.583 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2025-02-25 10:00:11.583 [info] Added views:workbench.panel.output in workbench.panel.output
2025-02-25 10:00:11.583 [info] Added views:terminal in terminal
2025-02-25 10:00:11.583 [info] Added views:timeline in workbench.view.explorer
2025-02-25 10:00:11.583 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2025-02-25 10:00:11.725 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-02-25 10:00:12.125 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-02-25 10:00:12.359 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-02-25 10:00:12.462 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2025-02-25 10:00:12.581 [info] Added views:workbench.scm.history in workbench.view.scm
2025-02-25 10:25:43.918 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-02-25 10:25:43.920 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2025-02-25 10:39:44.307 [info] Removed views:workbench.scm.history from workbench.view.scm
2025-02-25 10:39:44.309 [info] Removed views:workbench.view.testing from workbench.view.extension.test
2025-02-25 10:39:44.415 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2025-02-25 10:39:44.712 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-02-25 10:39:45.032 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-02-25 10:39:45.167 [info] Added views:workbench.scm.history in workbench.view.scm
2025-02-25 11:09:34.340 [info] Removed views:workbench.scm.history from workbench.view.scm
2025-02-25 11:09:34.341 [info] Removed views:workbench.view.testing from workbench.view.extension.test
2025-02-25 11:09:34.460 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2025-02-25 11:09:34.712 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-02-25 11:09:35.004 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-02-25 11:09:35.106 [info] Added views:workbench.scm.history in workbench.view.scm
2025-02-25 11:39:29.179 [info] Removed views:workbench.scm.history from workbench.view.scm
2025-02-25 11:39:29.182 [info] Removed views:workbench.view.testing from workbench.view.extension.test
2025-02-25 11:39:29.308 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2025-02-25 11:39:29.571 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-02-25 11:39:29.879 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-02-25 11:39:29.977 [info] Added views:workbench.scm.history in workbench.view.scm
2025-02-25 12:13:20.790 [info] Removed views:workbench.scm.history from workbench.view.scm
2025-02-25 12:13:20.793 [info] Removed views:workbench.view.testing from workbench.view.extension.test
2025-02-25 12:13:21.019 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2025-02-25 12:13:21.390 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-02-25 12:13:21.702 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-02-25 12:13:21.807 [info] Added views:workbench.scm.history in workbench.view.scm
2025-02-25 12:54:31.315 [info] Removed views:workbench.scm.history from workbench.view.scm
2025-02-25 12:54:31.316 [info] Removed views:workbench.view.testing from workbench.view.extension.test
2025-02-25 12:54:31.453 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2025-02-25 12:54:31.747 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-02-25 12:54:32.164 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-02-25 12:54:32.285 [info] Added views:workbench.scm.history in workbench.view.scm
2025-02-25 13:26:15.856 [info] Removed views:workbench.scm.history from workbench.view.scm
2025-02-25 13:26:15.858 [info] Removed views:workbench.view.testing from workbench.view.extension.test
2025-02-25 13:26:15.976 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2025-02-25 13:26:16.349 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-02-25 13:26:16.778 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-02-25 13:26:16.917 [info] Added views:workbench.scm.history in workbench.view.scm
2025-02-25 13:50:18.359 [info] Removed views:workbench.scm.history from workbench.view.scm
2025-02-25 13:50:18.360 [info] Removed views:workbench.view.testing from workbench.view.extension.test
2025-02-25 13:50:18.467 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2025-02-25 13:50:18.791 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-02-25 13:50:19.215 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-02-25 13:50:19.326 [info] Added views:workbench.scm.history in workbench.view.scm
2025-02-25 14:21:25.119 [info] Removed views:workbench.scm.history from workbench.view.scm
2025-02-25 14:21:25.121 [info] Removed views:workbench.view.testing from workbench.view.extension.test
2025-02-25 14:21:25.226 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2025-02-25 14:21:25.489 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-02-25 14:21:25.872 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-02-25 14:21:26.024 [info] Added views:workbench.scm.history in workbench.view.scm
